ETF_Ticker,ETF_Nombre,Tipo_Activo,Zona_Geografica,Moneda,Clasificacion_L1,Variables_Asignadas,Num_Variables
XLF,Financial Select Sector SPDR Fund,Renta Variable,USA,USD,RV - USA,"US_CFNAI, US_CORE_PCE, US_CPI, US_CREDIT_HY_SPREAD, US_FED_FUNDS_RATE, US_GDP, US_ISM_MANUFACTURING, US_NASDAQ, US_RUSSELL2000, US_SP500, US_SPREAD_10Y2Y, US_UNEMPLOYMENT_RATE, US_VIX",13
IVOL,Quadratic Interest Rate Volatility and Inflation Hedge ETF,Alternativo,USA,USD,ALTERNATIVO ,"US_CFNAI, US_CREDIT_HY_SPREAD, US_FED_FUNDS_RATE, US_SPREAD_10Y2Y, US_VIX",5
JPST,JPMorgan Ultra-Short Income ETF,Renta Fija,USA,USD,RF - Corporativa,"US_CFNAI, US_CREDIT_HY_SPREAD, US_CREDIT_IG_SPREAD, US_FED_FUNDS_RATE, US_ISM_MANUFACTURING, US_SPREAD_10Y2Y, US_VIX, US_YIELD_10Y",8
HDV,iShares Core High Dividend ETF,Renta Variable,USA,USD,RV - USA,"US_CFNAI, US_CORE_PCE, US_CPI, US_CREDIT_HY_SPREAD, US_FED_FUNDS_RATE, US_GDP, US_ISM_MANUFACTURING, US_NASDAQ, US_RUSSELL2000, US_SP500, US_SPREAD_10Y2Y, US_UNEMPLOYMENT_RATE, US_VIX",13
SCHF,Schwab International Equity ETF,Renta Variable,Global,USD,RV - Internacional,"EU_GDP, EU_STOXX600, GLOBAL_MSCI_WORLD, US_CFNAI, US_CREDIT_HY_SPREAD, US_FED_FUNDS_RATE, US_GDP, US_ISM_MANUFACTURING, US_SP500, US_SPREAD_10Y2Y, US_VIX",11
EMBE.L,iShares J.P. Morgan USD EM Bond UCITS ETF Acc,Renta Fija,Emerging Markets,USD,RF EMERGENTES ,"CN_GDP, EM_CREDIT_SPREAD, FX_EURUSD, US_CFNAI, US_CREDIT_HY_SPREAD, US_FED_FUNDS_RATE, US_SPREAD_10Y2Y, US_VIX, US_YIELD_10Y",9
IUSB,iShares Core Total USD Bond Market ETF,Renta Fija,USA,USD,RF - Gobierno,"US_CFNAI, US_CORE_PCE, US_CPI, US_CREDIT_HY_SPREAD, US_FED_FUNDS_RATE, US_INFLATION_EXPECTATIONS_5Y, US_MOVE, US_SPREAD_10Y2Y, US_SPREAD_10Y3M, US_VIX, US_YIELD_10Y, US_YIELD_2Y, US_YIELD_30Y, US_YIELD_5Y",14
SGOV,iShares 0-3 Month Treasury Bond ETF,Renta Fija,USA,USD,RF - Gobierno,"US_CFNAI, US_CORE_PCE, US_CPI, US_CREDIT_HY_SPREAD, US_FED_FUNDS_RATE, US_INFLATION_EXPECTATIONS_5Y, US_MOVE, US_SPREAD_10Y2Y, US_SPREAD_10Y3M, US_VIX, US_YIELD_10Y, US_YIELD_2Y, US_YIELD_30Y, US_YIELD_5Y",14
VBR,Vanguard Small Cap Value ETF,Renta Variable,USA,USD,RV - USA,"US_CFNAI, US_CORE_PCE, US_CPI, US_CREDIT_HY_SPREAD, US_FED_FUNDS_RATE, US_GDP, US_ISM_MANUFACTURING, US_NASDAQ, US_RUSSELL2000, US_SP500, US_SPREAD_10Y2Y, US_UNEMPLOYMENT_RATE, US_VIX",13
XAR,SPDR S&P Aerospace & Defense ETF,Renta Variable,USA,USD,RV - USA,"US_CFNAI, US_CORE_PCE, US_CPI, US_CREDIT_HY_SPREAD, US_FED_FUNDS_RATE, US_GDP, US_ISM_MANUFACTURING, US_NASDAQ, US_RUSSELL2000, US_SP500, US_SPREAD_10Y2Y, US_UNEMPLOYMENT_RATE, US_VIX",13
IEMG,iShares Core MSCI Emerging Markets ETF,Renta Variable,Emerging Markets,USD,RV - Emergente,"CN_GDP, CN_PMI_MANUFACTURING, EM_CREDIT_SPREAD, EM_MSCI_EM, FX_EURUSD, US_CFNAI, US_CREDIT_HY_SPREAD, US_FED_FUNDS_RATE, US_SPREAD_10Y2Y, US_VIX",10
BND,Vanguard Total Bond Market ETF,Renta Fija,USA,USD,RF - Corporativa,"US_CFNAI, US_CREDIT_HY_SPREAD, US_CREDIT_IG_SPREAD, US_FED_FUNDS_RATE, US_ISM_MANUFACTURING, US_SPREAD_10Y2Y, US_VIX, US_YIELD_10Y",8
VWO,Vanguard FTSE Emerging Markets ETF,Renta Variable,Emerging Markets,USD,RV - Emergente,"CN_GDP, CN_PMI_MANUFACTURING, EM_CREDIT_SPREAD, EM_MSCI_EM, FX_EURUSD, US_CFNAI, US_CREDIT_HY_SPREAD, US_FED_FUNDS_RATE, US_SPREAD_10Y2Y, US_VIX",10
MUB,iShares National Muni Bond ETF,Renta Fija,USA,USD,RF - Municipal,"US_CFNAI, US_CORE_PCE, US_CPI, US_CREDIT_HY_SPREAD, US_FED_FUNDS_RATE, US_INFLATION_EXPECTATIONS_5Y, US_MOVE, US_SPREAD_10Y2Y, US_SPREAD_10Y3M, US_VIX, US_YIELD_10Y, US_YIELD_2Y, US_YIELD_30Y, US_YIELD_5Y",14
SMTC.L,Lyxor Smart Overnight Return - UCITS ETF C-EUR,Cash,Europe,EUR,MONETARIO,"FX_EURUSD, US_CFNAI, US_CREDIT_HY_SPREAD, US_FED_FUNDS_RATE, US_SPREAD_10Y2Y, US_VIX",6
IEF,iShares 7-10 Year Treasury Bond ETF,Renta Fija,USA,USD,RF - Gobierno,"US_CFNAI, US_CORE_PCE, US_CPI, US_CREDIT_HY_SPREAD, US_FED_FUNDS_RATE, US_INFLATION_EXPECTATIONS_5Y, US_MOVE, US_SPREAD_10Y2Y, US_SPREAD_10Y3M, US_VIX, US_YIELD_10Y, US_YIELD_2Y, US_YIELD_30Y, US_YIELD_5Y",14
MBB,iShares MBS ETF,Renta Fija,USA,USD,RF - Corporativa,"US_CFNAI, US_CREDIT_HY_SPREAD, US_CREDIT_IG_SPREAD, US_FED_FUNDS_RATE, US_ISM_MANUFACTURING, US_SPREAD_10Y2Y, US_VIX, US_YIELD_10Y",8
LQD,iShares iBoxx $ Investment Grade Corporate Bond ETF,Renta Fija,USA,USD,RF - Corporativa,"US_CFNAI, US_CREDIT_HY_SPREAD, US_CREDIT_IG_SPREAD, US_FED_FUNDS_RATE, US_ISM_MANUFACTURING, US_SPREAD_10Y2Y, US_VIX, US_YIELD_10Y",8
CSBGU0.SW,iShares $ Treasury Bond 7-10yr,Renta Fija,USA,USD,RF - Gobierno,"US_CFNAI, US_CORE_PCE, US_CPI, US_CREDIT_HY_SPREAD, US_FED_FUNDS_RATE, US_INFLATION_EXPECTATIONS_5Y, US_MOVE, US_SPREAD_10Y2Y, US_SPREAD_10Y3M, US_VIX, US_YIELD_10Y, US_YIELD_2Y, US_YIELD_30Y, US_YIELD_5Y",14
SDIG.L,iShares USD Short Duration Corp Bond UCITS ETF,Renta Fija,USA,USD,RF - Corporativa,"US_CFNAI, US_CREDIT_HY_SPREAD, US_CREDIT_IG_SPREAD, US_FED_FUNDS_RATE, US_ISM_MANUFACTURING, US_SPREAD_10Y2Y, US_VIX, US_YIELD_10Y",8
VGIT,Vanguard Intermediate-Term Treasury ETF,Renta Fija,USA,USD,RF - Gobierno,"US_CFNAI, US_CORE_PCE, US_CPI, US_CREDIT_HY_SPREAD, US_FED_FUNDS_RATE, US_INFLATION_EXPECTATIONS_5Y, US_MOVE, US_SPREAD_10Y2Y, US_SPREAD_10Y3M, US_VIX, US_YIELD_10Y, US_YIELD_2Y, US_YIELD_30Y, US_YIELD_5Y",14
AFRN.PA,Amundi EUR Floating Rate Corporate Bond ESG -UCITS ETF DR EUR C- Capitalisation,Renta Fija,Europe,EUR,RF - Corporativa,"EU_CREDIT_IG_SPREAD, EU_PMI_MANUFACTURING, EU_VSTOXX, EU_YIELD_10Y, FX_EURUSD, US_CFNAI, US_CREDIT_HY_SPREAD, US_FED_FUNDS_RATE, US_SPREAD_10Y2Y, US_VIX",10
VCSH,Vanguard Short-Term Corporate Bond ETF,Renta Fija,USA,USD,RF - Corporativa,"US_CFNAI, US_CREDIT_HY_SPREAD, US_CREDIT_IG_SPREAD, US_FED_FUNDS_RATE, US_ISM_MANUFACTURING, US_SPREAD_10Y2Y, US_VIX, US_YIELD_10Y",8
IE15.L,iShares EUR Corp Bond 1-5yr UCITS ETF EUR (Dis),Renta Fija,Europe,EUR,RF - Corporativa,"EU_CREDIT_IG_SPREAD, EU_PMI_MANUFACTURING, EU_VSTOXX, EU_YIELD_10Y, FX_EURUSD, US_CFNAI, US_CREDIT_HY_SPREAD, US_FED_FUNDS_RATE, US_SPREAD_10Y2Y, US_VIX",10
IBGM.AS,iShares EUR Govt Bond 7-10 Year UCITS ETF,Renta Fija,Europe,EUR,RF - Gobierno,"EU_ECB_DEPOSIT_RATE, EU_HICP, EU_YIELD_10Y, EU_YIELD_2Y, FX_EURUSD, US_CFNAI, US_CREDIT_HY_SPREAD, US_FED_FUNDS_RATE, US_SPREAD_10Y2Y, US_VIX, US_YIELD_10Y",11
GOVT,iShares U.S. Treasury Bond ETF,Renta Fija,USA,USD,RF - Gobierno,"US_CFNAI, US_CORE_PCE, US_CPI, US_CREDIT_HY_SPREAD, US_FED_FUNDS_RATE, US_INFLATION_EXPECTATIONS_5Y, US_MOVE, US_SPREAD_10Y2Y, US_SPREAD_10Y3M, US_VIX, US_YIELD_10Y, US_YIELD_2Y, US_YIELD_30Y, US_YIELD_5Y",14
IBGX.AS,iShares EUR Govt Bond 3-5 Year UCITS ETF,Renta Fija,Europe,EUR,RF - Gobierno,"EU_ECB_DEPOSIT_RATE, EU_HICP, EU_YIELD_10Y, EU_YIELD_2Y, FX_EURUSD, US_CFNAI, US_CREDIT_HY_SPREAD, US_FED_FUNDS_RATE, US_SPREAD_10Y2Y, US_VIX, US_YIELD_10Y",11
PEU.MI,Invesco EuroMTS Cash 3 Months UCITS ETF,Cash,Europe,EUR,MONETARIO,"FX_EURUSD, US_CFNAI, US_CREDIT_HY_SPREAD, US_FED_FUNDS_RATE, US_SPREAD_10Y2Y, US_VIX",6
BSV,Vanguard Short-Term Bond ETF,Renta Fija,USA,USD,RF - Gobierno,"US_CFNAI, US_CORE_PCE, US_CPI, US_CREDIT_HY_SPREAD, US_FED_FUNDS_RATE, US_INFLATION_EXPECTATIONS_5Y, US_MOVE, US_SPREAD_10Y2Y, US_SPREAD_10Y3M, US_VIX, US_YIELD_10Y, US_YIELD_2Y, US_YIELD_30Y, US_YIELD_5Y",14
TIP,iShares TIPS Bond ETF,Renta Fija,USA,USD,RF - Gobierno,"US_CFNAI, US_CORE_PCE, US_CPI, US_CREDIT_HY_SPREAD, US_FED_FUNDS_RATE, US_INFLATION_EXPECTATIONS_5Y, US_MOVE, US_SPREAD_10Y2Y, US_SPREAD_10Y3M, US_VIX, US_YIELD_10Y, US_YIELD_2Y, US_YIELD_30Y, US_YIELD_5Y",14
CBE3.L,iShares EUR Govt Bond 1-3 UCITS ETF EUR (ACC),Renta Fija,Europe,EUR,RF - Gobierno,"EU_ECB_DEPOSIT_RATE, EU_HICP, EU_YIELD_10Y, EU_YIELD_2Y, FX_EURUSD, US_CFNAI, US_CREDIT_HY_SPREAD, US_FED_FUNDS_RATE, US_SPREAD_10Y2Y, US_VIX, US_YIELD_10Y",11
XEOD.DE,Xtrackers II EUR Overnight Rate Swap UCITS ETF,Cash,Europe,EUR,MONETARIO,"FX_EURUSD, US_CFNAI, US_CREDIT_HY_SPREAD, US_FED_FUNDS_RATE, US_SPREAD_10Y2Y, US_VIX",6
VSS,Vanguard FTSE All-World ex-US Small-Cap ETF,Renta Variable,Global,USD,RV Europa,"EU_GDP, EU_STOXX600, GLOBAL_MSCI_WORLD, US_CFNAI, US_CREDIT_HY_SPREAD, US_FED_FUNDS_RATE, US_GDP, US_ISM_MANUFACTURING, US_SP500, US_SPREAD_10Y2Y, US_VIX",11
DBXP.DE,Xtrackers II Eurozone Gov Bond 1-3 UCITS ETF 1C,Renta Fija,Europe,EUR,RF - Gobierno,"EU_ECB_DEPOSIT_RATE, EU_HICP, EU_YIELD_10Y, EU_YIELD_2Y, FX_EURUSD, US_CFNAI, US_CREDIT_HY_SPREAD, US_FED_FUNDS_RATE, US_SPREAD_10Y2Y, US_VIX, US_YIELD_10Y",11
EL4W.DE,Deka Deutsche Börse EUROGOV Germany Money Market UCITS ETF,Cash,Europe,EUR,MONETARIO,"FX_EURUSD, US_CFNAI, US_CREDIT_HY_SPREAD, US_FED_FUNDS_RATE, US_SPREAD_10Y2Y, US_VIX",6
XDWH.L,Xtrackers MSCI World Health Care UCITS ETF,Renta Variable,Global,USD,RV TÁCTICO,"EU_GDP, EU_STOXX600, GLOBAL_MSCI_WORLD, US_CFNAI, US_CREDIT_HY_SPREAD, US_FED_FUNDS_RATE, US_GDP, US_ISM_MANUFACTURING, US_SP500, US_SPREAD_10Y2Y, US_VIX",11
VCIT,Vanguard Intermediate-Term Corporate Bond ETF,Renta Fija,USA,USD,RF - Corporativa,"US_CFNAI, US_CREDIT_HY_SPREAD, US_CREDIT_IG_SPREAD, US_FED_FUNDS_RATE, US_ISM_MANUFACTURING, US_SPREAD_10Y2Y, US_VIX, US_YIELD_10Y",8
BITO,iShares Bitcoin Trust ETF,Renta Variable,Global,USD,RV - Internacional,"EU_GDP, EU_STOXX600, GLOBAL_MSCI_WORLD, US_CFNAI, US_CREDIT_HY_SPREAD, US_FED_FUNDS_RATE, US_GDP, US_ISM_MANUFACTURING, US_SP500, US_SPREAD_10Y2Y, US_VIX",11
TLH,iShares 10-20 Year Treasury Bond ETF,Renta Fija,USA,USD,RF - Corporativa,"US_CFNAI, US_CREDIT_HY_SPREAD, US_CREDIT_IG_SPREAD, US_FED_FUNDS_RATE, US_ISM_MANUFACTURING, US_SPREAD_10Y2Y, US_VIX, US_YIELD_10Y",8
VDE,Vanguard Energy ETF,Renta Variable,USA,USD,RV - USA,"US_CFNAI, US_CORE_PCE, US_CPI, US_CREDIT_HY_SPREAD, US_FED_FUNDS_RATE, US_GDP, US_ISM_MANUFACTURING, US_NASDAQ, US_RUSSELL2000, US_SP500, US_SPREAD_10Y2Y, US_UNEMPLOYMENT_RATE, US_VIX",13
XDW0.L,Xtrackers MSCI World Energy UCITS ETF,Renta Variable,Global,USD,RV TÁCTICO,"EU_GDP, EU_STOXX600, GLOBAL_MSCI_WORLD, US_CFNAI, US_CREDIT_HY_SPREAD, US_FED_FUNDS_RATE, US_GDP, US_ISM_MANUFACTURING, US_SP500, US_SPREAD_10Y2Y, US_VIX",11
ARKF,ARK Fintech Innovation ETF,Renta Variable,USA,USD,RV - USA,"US_CFNAI, US_CORE_PCE, US_CPI, US_CREDIT_HY_SPREAD, US_FED_FUNDS_RATE, US_GDP, US_ISM_MANUFACTURING, US_NASDAQ, US_RUSSELL2000, US_SP500, US_SPREAD_10Y2Y, US_UNEMPLOYMENT_RATE, US_VIX",13
KWEB,KraneShares CSI China Internet ETF,Renta Variable,Asia Ex-Japan,USD,RV- Asia Pacific Ex Japan,"CN_GDP, CN_PMI_MANUFACTURING, EM_CREDIT_SPREAD, EM_MSCI_EM, US_CFNAI, US_CREDIT_HY_SPREAD, US_FED_FUNDS_RATE, US_SPREAD_10Y2Y, US_VIX",9
SPDN,Direxion Daily S&P 500 Bear 1x Shares,Renta Variable,USA,USD,RV - USA,"US_CFNAI, US_CORE_PCE, US_CPI, US_CREDIT_HY_SPREAD, US_FED_FUNDS_RATE, US_GDP, US_ISM_MANUFACTURING, US_NASDAQ, US_RUSSELL2000, US_SP500, US_SPREAD_10Y2Y, US_UNEMPLOYMENT_RATE, US_VIX",13
PSQ,ProShares Short QQQ,Renta Variable,USA,USD,RV - USA,"US_CFNAI, US_CORE_PCE, US_CPI, US_CREDIT_HY_SPREAD, US_FED_FUNDS_RATE, US_GDP, US_ISM_MANUFACTURING, US_NASDAQ, US_RUSSELL2000, US_SP500, US_SPREAD_10Y2Y, US_UNEMPLOYMENT_RATE, US_VIX",13
