ETF_Ticker,ETF_Nombre,Tipo_Activo,Zona_Geografica,Moneda,Clasificacion_L1,Variables_Asignadas,Num_Variables
VV,Vanguard Large Cap ETF,Renta Variable,USA,USD,RV - USA,"US_CFNAI, US_CORE_PCE, US_CPI, US_CREDIT_HY_SPREAD, US_FED_FUNDS_RATE, US_GDP, US_ISM_MANUFACTURING, US_NASDAQ, US_RUSSELL2000, US_SP500, US_SPREAD_10Y2Y, US_UNEMPLOYMENT_RATE, US_VIX",13
SPTM,SPDR Portfolio Total Stock Market ETF,Renta Variable,USA,USD,RV - USA,"US_CFNAI, US_CORE_PCE, US_CPI, US_CREDIT_HY_SPREAD, US_FED_FUNDS_RATE, US_GDP, US_ISM_MANUFACTURING, US_NASDAQ, US_RUSSELL2000, US_SP500, US_SPREAD_10Y2Y, US_UNEMPLOYMENT_RATE, US_VIX",13
IAI,iShares U.S. Broker-Dealers & Securities Exchanges ETF,Renta Variable,USA,USD,RV - USA,"US_CFNAI, US_CORE_PCE, US_CPI, US_CREDIT_HY_SPREAD, US_FED_FUNDS_RATE, US_GDP, US_ISM_MANUFACTURING, US_NASDAQ, US_RUSSELL2000, US_SP500, US_SPREAD_10Y2Y, US_UNEMPLOYMENT_RATE, US_VIX",13
ITOT,iShares Core S&P Total U.S. Stock Market ETF,Renta Variable,USA,USD,RV - USA,"US_CFNAI, US_CORE_PCE, US_CPI, US_CREDIT_HY_SPREAD, US_FED_FUNDS_RATE, US_GDP, US_ISM_MANUFACTURING, US_NASDAQ, US_RUSSELL2000, US_SP500, US_SPREAD_10Y2Y, US_UNEMPLOYMENT_RATE, US_VIX",13
VOO,Vanguard S&P 500 ETF,Renta Variable,USA,USD,RV - USA,"US_CFNAI, US_CORE_PCE, US_CPI, US_CREDIT_HY_SPREAD, US_FED_FUNDS_RATE, US_GDP, US_ISM_MANUFACTURING, US_NASDAQ, US_RUSSELL2000, US_SP500, US_SPREAD_10Y2Y, US_UNEMPLOYMENT_RATE, US_VIX",13
SCHB,Schwab U.S. Broad Market ETF,Renta Variable,USA,USD,RV - USA,"US_CFNAI, US_CORE_PCE, US_CPI, US_CREDIT_HY_SPREAD, US_FED_FUNDS_RATE, US_GDP, US_ISM_MANUFACTURING, US_NASDAQ, US_RUSSELL2000, US_SP500, US_SPREAD_10Y2Y, US_UNEMPLOYMENT_RATE, US_VIX",13
VTI,Vanguard Total Stock Market ETF,Renta Variable,USA,USD,RV - USA,"US_CFNAI, US_CORE_PCE, US_CPI, US_CREDIT_HY_SPREAD, US_FED_FUNDS_RATE, US_GDP, US_ISM_MANUFACTURING, US_NASDAQ, US_RUSSELL2000, US_SP500, US_SPREAD_10Y2Y, US_UNEMPLOYMENT_RATE, US_VIX",13
COWZ,Pacer US Cash Cows 100 ETF,Renta Variable,USA,USD,RV - USA,"US_CFNAI, US_CORE_PCE, US_CPI, US_CREDIT_HY_SPREAD, US_FED_FUNDS_RATE, US_GDP, US_ISM_MANUFACTURING, US_NASDAQ, US_RUSSELL2000, US_SP500, US_SPREAD_10Y2Y, US_UNEMPLOYMENT_RATE, US_VIX",13
VPU,Vanguard Utilities ETF,Renta Variable,USA,USD,RV - USA,"US_CFNAI, US_CORE_PCE, US_CPI, US_CREDIT_HY_SPREAD, US_FED_FUNDS_RATE, US_GDP, US_ISM_MANUFACTURING, US_NASDAQ, US_RUSSELL2000, US_SP500, US_SPREAD_10Y2Y, US_UNEMPLOYMENT_RATE, US_VIX",13
QQQ,Invesco QQQ Trust,Renta Variable,USA,USD,RV - USA,"US_CFNAI, US_CORE_PCE, US_CPI, US_CREDIT_HY_SPREAD, US_FED_FUNDS_RATE, US_GDP, US_ISM_MANUFACTURING, US_NASDAQ, US_RUSSELL2000, US_SP500, US_SPREAD_10Y2Y, US_UNEMPLOYMENT_RATE, US_VIX",13
